Depth,PID,Process,Process Name,Parent,Parent Name,Event Count,Alert Severity,Alert Score,Detection Types,Suspicious
3,24864,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\wevtutil.exe,wevtutil.exe,2,,0,,
3,33392,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\wevtutil.exe,wevtutil.exe,2,,0,,
3,2416,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\wevtutil.exe,wevtutil.exe,2,,0,,
3,28660,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\wevtutil.exe,wevtutil.exe,2,,0,,
3,14924,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\cmd.exe,cmd.exe,2,,0,,
3,7640,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\cmd.exe,cmd.exe,2,,0,,
3,34084,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\cmd.exe,cmd.exe,2,,0,,
3,19008,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\cmd.exe,cmd.exe,2,,0,,
3,28232,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\cmd.exe,cmd.exe,2,,0,,
3,19576,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\cmd.exe,cmd.exe,2,,0,,
3,12496,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\curl.exe,curl.exe,2,,0,,
3,19116,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\reg.exe,reg.exe,2,,0,,
