IOC Type,IOC Value,Source,Context,Timestamp,Risk,TI Verdict,TI Tags,TI Confidence
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.db-wal,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.745",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\PropMap.db-shm,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.748",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\PropMap.db-wal,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.749",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-usn.db-shm,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.804",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-usn.db-wal,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.805",Medium,Unknown,,0
File Path,C:\Users\Sarthak_Primus\AppData\Local\Microsoft\OneDrive\setup\logs\StandaloneUpdate_2026-06-01_085010_15932-12544.log,file.path,Process: C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdate,"Jun 1, 2026 @ 14:21:23.403",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\OneDrive\setup\logs\StandaloneUpdate_2026-06-01_085010_35248-18292.log,file.path,Process: C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdate,"Jun 1, 2026 @ 14:21:23.438",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\wordEtw.man,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:24.698",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\msoutilstat.etw.man,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:26.919",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\AirSpace.Etw.man,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:28.501",Medium,Unknown,,0
File Path,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Addons\vc,"Jun 1, 2026 @ 14:21:44.499",Medium,Unknown,,0
File Path,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.ba\wixstdba.dll,file.path,Process: C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\v,"Jun 1, 2026 @ 14:21:44.606",Medium,Unknown,,0
File Path,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.ba\thm.xml,file.path,Process: C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\v,"Jun 1, 2026 @ 14:21:44.607",Medium,Unknown,,0
File Path,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.ba\thm.wxl,file.path,Process: C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\v,"Jun 1, 2026 @ 14:21:44.608",Medium,Unknown,,0
File Path,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.ba\logo.png,file.path,Process: C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\v,"Jun 1, 2026 @ 14:21:44.609",Medium,Unknown,,0
File Path,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.ba\license.rtf,file.path,Process: C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\v,"Jun 1, 2026 @ 14:21:44.610",Medium,Unknown,,0
File Path,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.ba\1028\thm.wxl,file.path,Process: C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\v,"Jun 1, 2026 @ 14:21:44.612",Medium,Unknown,,0
File Path,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.ba\1028\license.rtf,file.path,Process: C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\v,"Jun 1, 2026 @ 14:21:44.613",Medium,Unknown,,0
